# BulTreeBank Wordnet (BTB-WN)    bul    http://www.bultreebank.org/    CC BY 3.0
00001740-v	bul:lemma	дишам
00002684-n	bul:lemma	вещ
00002684-n	bul:lemma	обект
00002684-n	bul:lemma	предмет
00003826-v	bul:lemma	хлъцна
00003826-v	bul:lemma	хълцам
00004032-v	bul:lemma	въздишам
00004032-v	bul:lemma	въздъхна
00005205-a	bul:lemma	абсолютен
00005526-v	bul:lemma	дишам тежко
00005526-v	bul:lemma	задъхам се
00005526-v	bul:lemma	задъхвам се
00005815-v	bul:lemma	кашлям
00006032-a	bul:lemma	относителен
00006032-a	bul:lemma	сравнителен
00006269-n	bul:lemma	живот
00006484-n	bul:lemma	клетка
00007328-v	bul:lemma	прозина се
00007328-v	bul:lemma	прозявам се
00007347-n	bul:lemma	причина
00007846-n	bul:lemma	индивид
00007846-n	bul:lemma	лице
00007846-n	bul:lemma	личност
00007846-n	bul:lemma	особа
00009631-v	bul:lemma	мръдвам
00009631-v	bul:lemma	мръдна
00009631-v	bul:lemma	трепвам
00009631-v	bul:lemma	трепна
00010435-v	bul:lemma	държа се
00011757-a	bul:lemma	абстрактен
00011757-a	bul:lemma	отвлечен
00013160-a	bul:lemma	действителен
00013160-a	bul:lemma	конкретен
00013160-a	bul:lemma	реален
00013887-a	bul:lemma	изобилен
00014201-v	bul:lemma	треперя
00014549-v	bul:lemma	движа
00014549-v	bul:lemma	мърдам
00015388-n	bul:lemma	животно
00015498-v	bul:lemma	дремвам
00015498-v	bul:lemma	дремна
00015498-v	bul:lemma	поспивам
00015498-v	bul:lemma	поспя
00017222-n	bul:lemma	растение
00017782-a	bul:lemma	допустим
00017782-a	bul:lemma	приемлив
00017865-v	bul:lemma	легна си
00017865-v	bul:lemma	лягам си
00018158-v	bul:lemma	ставам
00018158-v	bul:lemma	стана
00018526-v	bul:lemma	будя
00018526-v	bul:lemma	будя се
00018526-v	bul:lemma	пробудя
00018526-v	bul:lemma	пробудя се
00018526-v	bul:lemma	пробуждам
00018526-v	bul:lemma	пробуждам се
00018526-v	bul:lemma	разбудя
00018526-v	bul:lemma	разбудя се
00018526-v	bul:lemma	разбуждам
00018526-v	bul:lemma	разбуждам се
00018526-v	bul:lemma	събудя
00018526-v	bul:lemma	събудя се
00018526-v	bul:lemma	събуждам
00018526-v	bul:lemma	събуждам се
00019131-a	bul:lemma	достъпен
00020671-v	bul:lemma	хипнотизирам
00020827-n	bul:lemma	вещество
00020827-n	bul:lemma	материя
00020827-n	bul:lemma	субстанция
00021265-n	bul:lemma	храна
00021265-n	bul:lemma	ядене
00021766-a	bul:lemma	точен
00023271-n	bul:lemma	знание
00023646-v	bul:lemma	прилошава ми
00023646-v	bul:lemma	прилошее ми
00023646-v	bul:lemma	припадам
00023646-v	bul:lemma	припадна
00023773-n	bul:lemma	мотив
00023773-n	bul:lemma	мотивация
00023773-n	bul:lemma	подбуда
00023773-n	bul:lemma	подтик
00023773-n	bul:lemma	стимул
00024996-a	bul:lemma	нов
00025203-v	bul:lemma	напрегна
00025203-v	bul:lemma	напрягам
00026385-v	bul:lemma	отдъхвам
00026385-v	bul:lemma	отдъхна
00026385-v	bul:lemma	почивам
00026385-v	bul:lemma	разпускам
00026385-v	bul:lemma	разпусна
00027167-n	bul:lemma	място
00028565-v	bul:lemma	засмея се
00028565-v	bul:lemma	засмивам се
00028565-v	bul:lemma	усмихвам се
00028565-v	bul:lemma	усмихна се
00029025-v	bul:lemma	хиля се
00030358-n	bul:lemma	акт
00030358-n	bul:lemma	действие
00030358-n	bul:lemma	дело
00030358-n	bul:lemma	деяние
00030358-n	bul:lemma	постъпка
00030358-n	bul:lemma	проява
00031820-v	bul:lemma	смея се
00031974-a	bul:lemma	активен
00031974-a	bul:lemma	деен
00032733-a	bul:lemma	подвижен
00032733-a	bul:lemma	пъргав
00032981-v	bul:lemma	мръщя се
00033020-n	bul:lemma	комуникация
00033020-n	bul:lemma	съобщение
00033203-v	bul:lemma	гледам гневно
00033955-v	bul:lemma	свивам рамене
00033955-v	bul:lemma	свия рамене
00034213-n	bul:lemma	феномен
00034213-n	bul:lemma	явление
00035189-n	bul:lemma	достижение
00035189-n	bul:lemma	постижение
00035189-n	bul:lemma	успех
00035368-a	bul:lemma	пенсионер
00036362-v	bul:lemma	измивам
00036362-v	bul:lemma	измия
00036362-v	bul:lemma	мия
00037298-v	bul:lemma	бръсвам
00037298-v	bul:lemma	бръсна
00037298-v	bul:lemma	обръсвам
00037298-v	bul:lemma	обръсна
00038262-n	bul:lemma	курс
00038262-n	bul:lemma	насока
00038262-n	bul:lemma	посока
00039021-n	bul:lemma	взаимодействие
00039297-n	bul:lemma	връзка
00039592-a	bul:lemma	бездеен
00039592-a	bul:lemma	безучастен
00039592-a	bul:lemma	пасивен
00042541-n	bul:lemma	раждане
00042757-n	bul:lemma	заминаване
00042757-n	bul:lemma	отпътуване
00044353-a	bul:lemma	възможен
00044760-a	bul:lemma	остър
00045123-a	bul:lemma	хроничен
00045123-a	bul:lemma	хронически
00045907-n	bul:lemma	възвръщане
00045907-n	bul:lemma	възстановяване
00047029-a	bul:lemma	зависим
00047029-a	bul:lemma	пристрастен
00047945-v	bul:lemma	облека
00047945-v	bul:lemma	обличам
00049900-v	bul:lemma	разсъблека се
00049900-v	bul:lemma	разсъбличам се
00049900-v	bul:lemma	съблека се
00049900-v	bul:lemma	събличам се
00050037-n	bul:lemma	записване
00050037-n	bul:lemma	регистрация
00051045-a	bul:lemma	адекватен
00051192-n	bul:lemma	връщане
00051192-n	bul:lemma	завръщане
00051192-n	bul:lemma	прибиране
00051696-a	bul:lemma	недостатъчен
00051696-a	bul:lemma	незадоволителен
00052246-a	bul:lemma	негоден
00052246-a	bul:lemma	некадърен
00052246-a	bul:lemma	неспособен
00052374-v	bul:lemma	нося
00053097-n	bul:lemma	прощаване
00053097-n	bul:lemma	сбогуване
00053691-a	bul:lemma	лепкав
00054285-v	bul:lemma	забременявам
00054285-v	bul:lemma	зачевам
00054285-v	bul:lemma	зачена
00056311-n	bul:lemma	имиграция
00056311-n	bul:lemma	преселване
00058743-n	bul:lemma	бягство
00063014-n	bul:lemma	рекорд
00065575-n	bul:lemma	минаване
00065575-n	bul:lemma	справяне
00065855-n	bul:lemma	кредит
00066191-v	bul:lemma	плача
00066191-v	bul:lemma	рева
00069531-a	bul:lemma	естетичен
00069531-a	bul:lemma	естетически
00069879-v	bul:lemma	нараня
00069879-v	bul:lemma	наранявам
00069879-v	bul:lemma	раня
00069879-v	bul:lemma	ранявам
00070965-n	bul:lemma	грешка
00070965-n	bul:lemma	неточност
00072473-n	bul:lemma	объркване
00073713-n	bul:lemma	изопачаване
00074624-n	bul:lemma	пропуск
00074834-v	bul:lemma	кървя
00076196-n	bul:lemma	гаф
00077645-a	bul:lemma	изплашен
00077645-a	bul:lemma	уплашен
00077698-v	bul:lemma	давя се
00077698-v	bul:lemma	задавям се
00077698-v	bul:lemma	задушавам се
00077698-v	bul:lemma	задуша се
00077950-v	bul:lemma	задуша
00077950-v	bul:lemma	задушавам
00078138-v	bul:lemma	замръзвам
00078138-v	bul:lemma	замръзна
00078138-v	bul:lemma	измръзвам
00078138-v	bul:lemma	измръзна
00078760-v	bul:lemma	лекувам
00078760-v	bul:lemma	третирам
00081725-v	bul:lemma	лекувам
00081725-v	bul:lemma	церя
00081836-n	bul:lemma	пазаруване
00081836-n	bul:lemma	шопинг
00082241-a	bul:lemma	агресивен
00082241-a	bul:lemma	враждебен
00082241-a	bul:lemma	нападателен
00084738-v	bul:lemma	дрогирам
00088339-v	bul:lemma	отравям
00088339-v	bul:lemma	отровя
00089351-n	bul:lemma	връщане
00089750-v	bul:lemma	заразя
00089750-v	bul:lemma	заразявам
00091311-a	bul:lemma	бдителен
00091311-a	bul:lemma	нащрек
00092293-v	bul:lemma	влоша
00092293-v	bul:lemma	влошавам
00092366-n	bul:lemma	търг
